Nama_Makanan,Produsen,Porsi,Energi (kkal),Protein (g),Karbohidrat (g),Lemak (g),Gula (g),Natrium (mg),Serat (g),Persentase_AKG_Energi,Persentase_AKG_Protein,Persentase_AKG_Karbohidrat,Persentase_AKG_Lemak,Persentase_AKG_Natrium,Lemak_Jenuh,Natrium,Protein,Karbohidrat_Total,Energi,Lemak_Total,Serat_Pangan,% AKG Energi,% AKG Protein,% AKG Lemak,% AKG Karbohidrat,% AKG Gula
Ikan sunu, asin,1.8,100.0,20.3,81.80000000000001,31.5,7.1,3.8,0.0,377.0,0.0,9.26,56.83,2.18,5.67,25.13,0.0,0.0,0.0,0.0,0.0,4.651162790697675,33.83333333333333,47.01492537313433,25.169230769230772,14.2
Soto pekalongan, masakan,1.8,1.3,65.25,3.0,5.1,6.8,0.0,0.0,0.3,4.37,5.0,1.57,10.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06046511627906977,108.74999999999999,7.611940298507462,0.9230769230769231,13.600000000000001
Marie duo,Tidak Diketahui,1.0,15.0,1.0,14.0,3.5,5.0,85.0,1.0,4.19,1.67,4.31,5.22,5.67,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.6976744186046512,1.6666666666666667,5.223880597014925,4.3076923076923075,10.0
Kaparende, sayur,1.8,1.3,38.0,2.4,2.6,2.0,0.0,170.0,1.5,1.77,4.0,0.8,2.99,11.33,0.0,0.0,0.0,0.0,0.0,0.0,0.06046511627906977,63.33333333333333,3.880597014925373,0.7384615384615384,4.0
Kacang lebui / iris,Tidak Diketahui,3.6,346.0,16.5,66.6,1.5,0.0,17.0,37.3,16.09,27.5,20.49,2.24,1.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.093023255813954,27.500000000000004,2.2388059701492535,20.49230769230769,0.0
The coffe bean & tea leaf pure vanilla ice blended drink,Tidak Diketahui,15.0,410.0,15.0,70.0,9.0,15.0,0.0,0.0,19.07,25.0,21.54,13.43,0.0,0.0,0.0,25.0,22.0,20.0,0.0,0.0,19.069767441860467,25.0,13.432835820895523,21.53846153846154,30.0
Dairy queen banana split,Tidak Diketahui,4.0,520.0,9.0,81.80000000000001,14.0,15.0,0.0,4.0,24.19,15.0,28.31,20.9,0.0,0.0,0.0,0.0,29.0,25.0,21.0,0.0,24.186046511627907,15.0,20.8955223880597,25.169230769230772,30.0
Gembili, ubi,1.8,100.0,1.0,81.80000000000001,1.1,15.0,0.2,0.0,10.0,1.1,6.09,1.83,9.63,0.3,0.67,0.0,0.0,0.0,0.0,0.0,4.651162790697675,1.6666666666666667,1.6417910447761197,25.169230769230772,30.0
Baked lotus paste mooncake with two egg yolks,Tidak Diketahui,0.85,223.0,4.05,20.5,13.79,0.0,0.0,0.85,10.37,6.75,6.31,20.58,0.0,0.0,0.0,7.0,0.0,11.0,21.0,0.0,10.372093023255815,6.749999999999999,20.582089552238806,6.3076923076923075,0.0
Cumi-cumi,Tidak Diketahui,0.9,75.0,16.1,0.1,0.7,0.0,37.0,0.0,3.49,26.83,0.03,1.04,2.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.488372093023256,26.833333333333336,1.044776119402985,0.03076923076923077,0.0
Kunyit, segar,1.8,1.3,65.25,2.0,9.1,2.7,0.0,6.0,0.6,3.21,3.33,2.8,4.03,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.06046511627906977,108.74999999999999,13.582089552238804,0.6153846153846154,5.4
The coffe bean & tea leaf black forest ice blended drink,Tidak Diketahui,12.0,490.0,12.0,81.80000000000001,10.0,15.0,0.0,0.0,22.79,20.0,27.38,14.93,0.0,0.0,0.0,20.0,28.0,23.0,0.0,0.0,22.790697674418606,20.0,14.925373134328357,25.169230769230772,30.0
Coklat silverqueen almond,PT. Petra food indonesia,4.0,170.0,4.0,14.0,11.0,11.0,0.0,0.0,7.91,6.67,4.31,16.42,0.0,0.0,0.0,7.0,0.0,8.0,17.0,0.0,7.906976744186046,6.666666666666667,16.417910447761194,4.3076923076923075,22.0
Daun gedi besar, segar,1.8,2.4,58.0,2.9,10.0,0.7,0.0,30.0,3.3,2.7,4.83,3.08,1.04,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11162790697674418,96.66666666666667,14.925373134328357,0.8923076923076922,1.4
Kopi hitam tanpa gula,Tidak Diketahui,0.28,2.0,0.28,0.09,0.05,0.0,0.0,0.0,0.09,0.47,0.03,0.07,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.09302325581395349,0.46666666666666673,0.0746268656716418,0.02769230769230769,0.0
Tumis keumamah,Tidak Diketahui,4.3,300.0,14.5,15.5,20.0,0.0,0.0,4.5,13.95,24.17,4.77,29.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.953488372093023,24.166666666666668,29.850746268656714,4.769230769230769,0.0
Regal Biskuit Marie,CV. JAYA ABADI,1.0,70.0,1.0,12.0,2.0,0.0,45.0,0.0,3.26,1.67,3.69,2.99,3.0,0.0,3.0,0.0,4.0,4.0,0.0,0.0,3.255813953488372,1.6666666666666667,2.9850746268656714,3.6923076923076925,0.0
Teh hijau daun kering,Tidak Diketahui,5.6,300.0,28.3,53.6,4.8,0.0,60.0,9.6,13.95,47.17,16.49,7.16,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.953488372093023,47.16666666666667,7.164179104477612,16.49230769230769,0.0
Susu ultra milk rasa coklat 200 ml,PT. Ultrajaya Milk Industy,6.0,160.0,6.0,24.0,4.0,0.0,45.0,0.0,7.44,10.0,7.38,5.97,3.0,15.0,0.0,10.0,0.0,8.0,0.0,0.0,7.441860465116279,10.0,5.970149253731343,7.384615384615385,0.0
Frisian flag putih (kental manis),PT. Frisian Flag Indonesia,1.0,140.0,1.0,23.0,4.0,15.0,0.0,0.0,6.51,1.67,7.08,5.97,0.0,0.0,0.0,0.0,8.0,7.0,6.0,0.0,6.511627906976744,1.6666666666666667,5.970149253731343,7.076923076923077,30.0
Sedaap Kecap Manis,PT. BUMI ALAM SEGAR,1.0,70.0,1.0,16.0,0.0,13.0,290.0,0.0,3.26,1.67,4.92,0.0,19.33,0.0,20.0,0.0,5.0,4.0,0.0,0.0,3.255813953488372,1.6666666666666667,0.0,4.923076923076923,26.0
Outback steackhouse slow roasted prime rib,Tidak Diketahui,46.0,567.5,46.0,0.0,31.5,0.0,0.0,0.0,32.56,76.67,0.0,85.07,0.0,0.0,0.0,77.0,0.0,33.0,86.0,0.0,26.395348837209305,76.66666666666667,47.01492537313433,0.0,0.0
Es krim Diamond vanilla,PT. Sukanda djaya,2.0,110.0,2.0,12.0,6.0,9.0,0.0,0.0,5.12,3.33,3.69,8.96,0.0,0.0,0.0,0.0,4.0,6.0,9.0,0.0,5.116279069767442,3.3333333333333335,8.955223880597014,3.6923076923076925,18.0
Genjer, segar,1.8,0.4,35.0,1.7,7.7,0.2,0.0,64.0,2.5,1.63,2.83,2.37,0.3,4.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0186046511627907,58.333333333333336,11.492537313432836,0.5230769230769231,0.4
Taoge kacang kedelai, segar,1.8,1.0,65.25,9.0,6.4,2.6,0.0,5.0,0.7,3.53,15.0,1.97,3.88,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.046511627906976744,108.74999999999999,9.55223880597015,2.769230769230769,5.2
